"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"D-ribose",3223233.71642801,4855348.10161121,2930841.55658674,4710744.59571189,2924424.07405346,3741557.50822646,5108876.69405927,2614632.84838344,4394908.59068462,5546048.40078032,5404577.42542868,6945246.00099098,3740258.57874078,3418245.06770905,3493575.63437784,4651067.96602402,5732427.74217102,6775316.62292573,2899215.88593585,3868709.72473039,9405337.8219246,3159181.4401741,2891905.83037905,4983718.26237101,3636669.02560337,2021175.83475639,3662747.48100428,2207335.33674947,4081149.00540093,4091919.19581373,1451144.71658778,2190005.67984457,5656241.05863096,4567252.05462307,6508030.61787261,4734323.15770298,9364400.40401913,1240854.03187298,2505861.46177681,5389433.18073271,3335824.81118321,3375555.83921291,4456001.17901421,5306738.63092626,4310941.28651668,3061676.84296192,3679416.9439779,3230137.488163,4029556.85534195,4694402.44825173
"D-ribose-5-phosphate",263916.236079026,648732.321652326,1464629.20057492,319902.179939765,1768114.60798482,1304034.67459159,877562.49252128,376857.66725287,1273783.96561165,539271.896291816,1493229.25622993,553324.950567403,857797.60600298,427297.144520617,1319156.03178863,2204483.02541942,1025016.62376154,1376654,1658086.70900691,1992063.97089548,510544.732844316,1132859.59286806,1725185.82430771,661737.381057593,882072.712868484,1734456.4338629,1569443.74012247,988542.615819757,1003870.92297308,300756.566697092,1250901.22678704,1230858.94663004,999745.253021988,698489.315603627,828548.526595363,629608.789414428,1461751.08830873,613900.105330797,570680.483098905,441961.986683516,1783185.61112836,1223658.85017722,423720.090276632,676118.981392713,819508.570703846,798010.432668729,1011666.95213578,728315.94050811,559995.411231171,788936.136681089
"D-ribulose-5-phosphate",1204544.88586346,2264671.48704252,4288743.83276798,2229603.98036586,3801510.17612864,3847272.91968163,3948859.8517165,2553618.28836024,5975167.32723967,3352561.51982957,6565121.58002174,2744955.37040455,2094202.22266886,5140018.06975342,6650722.76765567,10853437.3839109,3207910.21483114,10616041.4433774,8197390.56166929,5509556.67875835,2436138.23720693,5165454.13130155,7905917.46872519,3235063.19968912,3743518.98447889,3842504.43801115,4401724.55047281,3155068.99904762,4617875.85658083,3874013.74123954,2032664.46369089,3472622.6410458,2852255.42688092,4740992.89466024,2136309.98234226,2156023.66912089,7755505.19787759,1909739.57298311,4226258.16324409,1481982.67809053,4521096.13574338,3489170.39944861,3032133.11810909,2012771.12018234,3239265.30972066,2904647.11511836,3536182.91104885,3155999.30096633,1119422.44604632,2034372.61517367
"D-sorbitol",72121258.1011503,76476254.7609212,76176345.103028,62138028.2684491,89033084.2702675,53814132.0723659,75170821.0208683,62237127.2898378,85509262.5622382,65072200.8171454,79860011.3416552,56489520.6563106,61014439.1806236,59229757.1411092,72552189.5354958,75076368.6351718,56382979.8087076,75366030.0843757,75129678.6918726,75943267.5834143,71220769.0946514,45531914.2689668,80006966.3799627,43594573.337051,62962685.4131259,98154211.1644083,84672343.6890655,72014198.4078029,56638275.5323444,80198167.3566338,75596188.4241811,76222922.5602685,95315529.7366187,55517900.5342981,67858769.6206821,89731630.9624385,83756593.8257847,59451166.9272467,68590546.0289823,59919899.9019567,89437923.6574113,69504130.3764165,81494325.5294476,76149408.4698677,66944934.6884744,69426955.889716,68760819.3018872,79356024.2403225,61472819.8663044,59400771.0704064
"D-threitol",135004,110571.496357952,101590.628411364,98431.329341199,146789,116533.604914763,124329,106422,122009.293922522,159201,145302,113792.071880696,150154,130786,125522,203062,171382,201388,175207,113789,108032.106778371,99361,111651.615050398,97933,118340,127651.773951603,222868.76035894,93097.884253797,112589.903148253,113652.85793139,179714.94000016,105741.553141229,114415.716867199,117555.466193746,147227.05601421,83355.427010718,222825.760503448,82064.974499982,144743.95902146,74275.861122144,148264.586446834,110299.91588007,198861.48080712,71026.132986258,130699.112152154,179725.388068824,146975.17605092,105889.455732674,131265.41851306,81890.295330296
"D-xylitol",1395208.8505593,1693828.46356545,1553691.71522869,1142207.58305707,1879968.99918782,1017448.26904441,1220429.73458896,1179921.56033391,1900236.86413666,1425245.31031756,1224931.98414951,1446989.77907826,1192200.69333984,1375881.24136896,1525545.3122311,1701570.93757882,1259990.24275552,2170712.05067689,1935016.28710925,1156190.88672539,1043605.42810183,679992.044504855,1500908.94972103,1084814.42645455,1069603.50779853,1735236.14098397,1966750.39292608,1329617.39802921,985604.599294488,1486966.82533321,1122383.79621786,1556896.96464901,1975140.48078188,927068.990458327,1030270.18777816,1801802.67760842,2484373.37500323,1013915.81721493,1194784.56633289,1149680.9139993,1721197.53078366,1640062.58483782,1578437.9793679,1276302.21104393,1565075.07215086,1369549.63243866,1271155.44471554,1220579.20004348,890225.404841134,1166383.87032399
"erythritol",769387.123201389,998389.117336214,1743222.97702133,888990.523934223,1398333.48343694,876314.254137139,641810.635719721,417161.401724836,964213.414291918,832187.10065924,2070427.73666026,1565468.36123138,828632.077834869,549414.367069655,754983.467823346,1127056.33224385,661748.330417235,780748.758781085,1041450.28805232,372395.202213998,782134.77897492,812149.18870556,1021986.99704825,341128.840611585,577026.036105675,1410999.16941409,839663.09639232,554032.544895644,453776.334385822,1377535.83543619,484177.5301176,646007.63827446,1193699.76949972,910334.800226673,699933.528321296,1318184.48664462,933640.451964783,508625.175036738,611411.642284618,941781.983496289,1153999.83194885,480129.180994976,1544471.45567964,398712.498641367,1422129.26328724,943971.637316696,692685.311489277,620923.56223575,478257.101191622,436249.465507406
"erythrono-1,4-lactone*",98125,81437,94561,74832,76875,185021,189376,95581,225552,96048,92783,648094,245736,130645,112076,113940,284149,248946,733822,278643,571555,139762,158960,200401,80962,275118,89812,203322,224348,308350,110995,325599,261170,265630,440845,478744,609801,87762,205759,339074,249232,214458,128513,196009,133481,485357,260889,213310,174872,190686
"erythrose",150746.163470092,222312.311204253,210300.443396029,268442.761258689,263948.684204715,199667.580262555,231163.355425512,154504.356766707,211356.030912463,241204.921378104,167583.602063269,98533.991337944,159012.801044549,270102.648979276,198030.552943218,305536.889503541,244858.807509164,274979.107311083,214378.420920858,127106.379090266,94725.469602668,142401.27571856,227430.631957549,130088.578693674,202714.592319434,215532.56125884,242073.867107357,128103.399787888,86819.328769509,171263.883374396,207711.496152506,190714.627396152,231963.30980054,120755.259666298,67913.87220037,143448.647689012,229581.6258432,135382.145950957,173529.225317376,100480.174593275,241990.75220377,161370.835106246,249186.231840291,70958.129361167,238206.608927553,193388.36860776,180069.912062709,216420.579986976,165123.647053074,171002.4548219
"ethanolamine",31333290.677399,31769334.8620423,23973332.7717894,33915395.3804438,33900101.954936,25561815.6713485,36886893.7950066,24865036.6830321,29986184.5992009,26451974.2363023,23560632.3637587,54569773.3162067,27161153.088707,20595890.547976,33919500.3020987,20178289.1049394,34423739.4263777,36344168.7471205,23803920.7009867,17432905.5096355,38370990.309642,20090863.9576521,23315518.8121113,25100656.0138972,25623691.720775,30603964.2272073,28515902.2888049,26029581.3916057,36019433.7538034,27776007.7136812,19030109.0734964,24110033.5883428,31073618.102104,27398872.317402,35361077.960165,36133243.9315595,42049496.3279735,19988231.5578289,28548384.5618644,21446148.6229279,31391243.1942221,27310578.4831579,36206204.7805191,23799608.1852502,33235634.6597132,30562992.5409145,33011070.0486541,41887767.6958636,29168103.2416244,37461340.662902
"fumaric acid",5083622,8089237,6663630,5099356,8681797,6779971,6042819,5581925,6277571,9123647,9087543,7401683,9119852,8086769,7629755,10325259,11035615,13350308,10640639,6701467,6677970,7363734,9448761,7026468,5990563,8016759,8568650,6518642,8110929,7529022,6599114,9116143,9587170,7902983,8763905,7014520,11316341,5155012,7344520,5813724,10013699,8375367,8446403,7427631,10910586,7367413,8455546,9280196,6327952,7236728
"glucosamine-1-phosphate",1539765.22575619,1382830.65431389,2121734.70238259,1360050.31657895,2454228.78297178,1787155.80173993,1451837.48548669,1660973.5720345,1713677.23565412,2253498.11529899,2079193.99020848,793737.285872435,1635936.45650403,1830182.889706,1650349.65024981,2213694.97409768,1457964.62591863,1466715.82786831,2901141.04662489,1494848.66601941,864420.42869097,1260017.04792921,1414438.55192387,888566.495508335,1334675.9155442,2862661.84161268,2367060.90595219,1273778.61860413,1325519.01025418,1506787.89048297,2162896.33846536,2049985.13868198,2033892.45039199,1169906.53799129,1489298.34100754,1358124.39862432,1924606.44189226,1546627.36387644,1979655.24933182,1104893.66330892,2901913.84477721,1708036.56425027,1903155.45472236,1048523.35132849,2167666.12307776,1736348.78192519,1570687.10625935,1942744.36374406,1151089.34929913,1384437.32358441
"glyceraldehyde",38006,33994,37116,25773,35432,30031,19170,24373,37476,25034,28077,46655,37124,31325,26981,16681,43329,35912,44456,43370,54865,23182,26364,24059,12757,28948,14187,30791,18971,36737,19916,40084,37991,24468,47121,40015,58701,10350,28965,32318,38632,15087,19468,27489,22777,51293,45369,34800,26932,32118
"glyceraldehyde 3-phosphate",26315.524023414,54727.904540408,38443.952712822,44109.008753084,69113.479795117,34060.94836008,25294.356372328,47313.957244714,46229.575316897,47827.720428772,27282.741249799,23045.042193238,25109.586733763,57186.367471563,52328.404871729,52861.486715854,44244.772396767,76757.39194079,59287.814816652,79777.342516732,18135.521052824,41046.00169112,66491.464049676,13469.061390765,25528.289286016,49720.02781913,55773.610733135,30647.143628936,28317.830974014,39011.027584158,60359.974557629,43115.503433577,38294.994438525,25923.639957133,21778.231022,23653.371094639,39708.761350363,22117.72027506,52773.368536354,19996.557124349,103212.935766594,25368.607257989,51225.686519272,25813.157170002,67338.46212434,39246.22953868,51814.449670681,49669.753308722,24391.54626564,36465.583307155
"glyceric acid",854616.180897301,1242232.69146327,646566.566303796,966453.89205743,903872.567432942,786853.212035555,1418232.06166009,640403.756729031,1072825.96229822,1118513.04171099,1280887.72283908,1695111.02351087,1015231.39188781,797260.43524288,858394.77029952,1004984.51613948,1799310.32823295,2078007.00699268,1121275.58226261,834991.127305849,3140696.73875061,637984.36892505,856969.75841015,1477132.3385375,857911.07906816,526768.36602432,758483.342875998,669155.54796398,1480752.72930582,728259.22978117,532731.975425127,609351.259391565,1504090.7209598,1115457.61315674,1777079.28915972,989485.684483596,1594548.09441927,341743.274516828,582639.873558808,932361.608893254,866112.83869349,798225.9102158,1008760.89313315,1735244.77051301,1086128.16114251,696085.682037375,1283729.16952941,1045690.22972924,1246752.49059408,1532399.48460677
"glycerol",33239711.8692148,34604222.9241692,25630782.7824276,30514969.1000927,31227550.2771195,23112844.7293875,29001251.0834727,23077799.7878858,35245563.8045111,27610808.771593,24373362.2863846,69278599.8344417,26958225.9578466,20876071.1310836,24648438.1973835,30575379.7637089,36763398.750116,22107380.2994998,26368826.5848059,10615033.3136855,30250123.649742,23891734.3003955,26704583.4592637,14064249.8434167,20367439.6027134,29388895.3033376,34166797.997973,23064572.0930615,20160824.6270702,31793448.3561302,12400124.0452738,24554211.3778056,29943843.6313786,24405404.6497843,32397281.1219693,35269349.0287599,50899161.2086124,19456246.6109967,21780911.1801632,27105739.6965681,35495392.8444071,22404923.2007882,41671094.118112,15552032.9185664,38638102.1694993,28568044.7189708,30676049.4184291,19429593.5842638,23526924.4891484,20257487.3578121
"glycerol 3-phosphate",68287886.8971009,47825257.8496222,102128388.39635,44471634.677973,64843128.2779925,79687190.4172301,54949344.2225987,63080177.2616183,71538865.460897,90397684.9929707,74365330.5671635,40862780.4635481,53828980.0293081,64104843.1632265,68341392.6749611,93071190.1276658,72994239.6224036,44385076.706015,113726849.510939,40823044.443187,35054323.9348886,87832054.861144,56179801.3835809,28664756.7949542,73977504.3473728,123170914.536464,116151581.883457,65062308.1720797,89337934.1126902,73961847.5678701,108720272.262996,50908854.7708203,82132281.801276,32371332.2712657,75472912.6693037,61428134.5628128,104013656.796973,57331743.7899051,95362707.4469448,37084221.2110037,113236458.011147,82853500.7736093,93415472.1472304,44216649.8472748,73885991.1676941,53858925.1290862,68939598.8131612,71461912.5523282,56501822.0056566,55673848.852874
"glycine",2444215.46756482,3886470.921654,3688450.39774092,2606804.43982307,4566433.12705613,2512197.11348941,2554920.61562049,2535439.57662736,2602931.20876804,4510788.95011213,2592631.60199504,2633155.97853178,2518203.27995794,3893957.02063589,2278413.41065629,5263428.12352495,2342934.43145491,2661430.70738724,2257589.232842,2440765.62699214,2206762.43513113,2123280.21676453,3983257.60685572,1955875.56823672,3239790.6605587,2430194.85533088,4717624.15683323,2121192.68399302,2346718.37395055,2440574.4759497,2671744.08458425,3808816.50756169,4318448.99936782,2435721.05495947,2738256.36626546,2307246.46802798,5032954.81394059,2248621.25952987,2321570.23565415,2421633.21300334,2718817.5516816,2264534.26539969,2647057.77290037,2221694.2073553,4512781.44523942,3449176.46152233,2331046.18493271,2403202.69490171,2104153.79600546,3388613.80508431
"glycolic acid",148115.794882015,143534.348434027,124747.955525959,125820.058780932,166958.093084899,149846.804985424,126035.680339164,108281.755692212,126253.313084644,141474.824980374,145090.861059175,154680.457634015,151069.165400503,136165.155372761,145648.119526666,190623.464449123,229294.868579561,163407.350591337,160020.16050609,118958.220503556,152845.507100635,144612.886473186,141981.060338214,123335.474616534,129587.828701357,143647.728557333,133220.548482273,119419.959553724,162963.99046122,136765.510441569,118740.993240792,129119.886839267,168719.092764861,156225.778988404,158685.060546561,130348.434013915,189408.753354396,105550.585732554,117587.795597362,114528.11557473,128695.1677788,128356.598750327,129564.724571858,108681.704564637,138280.218733091,131658.504107717,130405.811523696,133609.97446731,104327.718755253,123393.545946561
"guanosine",1146113.75949901,974785.024086504,1385295.70336231,838128.159015215,1273977.84397474,848802.278345089,1149239.8903382,596568.976246888,1123418.62442704,1243332.7967496,1143610.21190026,829699.827002527,1127231.78971175,966325.574462902,1036333.45757951,811005.711090954,1165173.05403182,1050627.32728757,1261338.78413822,892367.644011535,1026372.79318074,804190.418248366,935048.501807944,1023877.80340401,665761.305373417,861734.907463702,1198545.75686578,725165.711570723,1002660.03523497,1014839.34350397,743005.472882025,881474.255747339,1147836.14661533,937194.617925251,1165318.45498773,963562.451674788,1352961.68838125,455946.533431265,783580.481397025,663038.703668684,1458778.82946876,901908.698208139,824460.024657695,1008050.63823203,690873.504399223,894846.158723006,1038651.82276733,1243946.33523159,852466.765222601,1278292.4326288
"guanosine 5-monophosphate",194706.53493606,208878.5137221,249150.3905673,312474.85129718,1212985.7143624,373628.45680125,861852.48695854,133296.06475221,1007255.93608417,363835.359996888,1113573.09590885,852278.46903573,673517.468929994,875274.910127662,279755.226150179,2473782.91451222,1078073.92822524,4055695.6313586,873598.59619335,1157779.60427544,727588.642321588,816652.337846097,1975819.03855078,830503.343085106,966789.245289514,235698.667541604,359770.432819322,39946.66220736,1546006.05266375,352985.163155961,1148867.88167173,237900.101692278,413817.548078554,936726.77399927,215451.306392636,171764.10800557,368741.88347595,106959.82388716,1043736.53969739,298231.582550485,430726.339805145,898527.629754079,1192351.230935,141350.4004523,339563.20661572,180720.37012772,312108.82634274,1477137.60868944,812980.07160223,762025.868006085
"hydroquinone",310181.171429153,409869.878116664,329226.281936729,355260.339724543,495388.924037091,401855.414525856,286344.56454109,284261.98157164,346705.849102139,436778.332453345,366833.299806183,220947.201607045,280881.652972537,338834.750311979,325909.825455264,526427.02597153,330563.838079813,471873.051843002,297758.995078111,190016.948058357,209426.299055528,278989.437252736,411569.258797132,233277.98642801,336727.342035077,385234.707801018,448126.08327646,284300.968249222,258917.572809042,289472.24890922,478135.23169272,396628.624510538,419535.568289911,275702.34136405,230063.80773636,236359.731600994,452994.449519565,275171.907485423,342115.926380514,259227.93339878,466715.508449954,324889.307975078,423415.846282887,218017.406920842,334122.15709666,258651.871056212,306401.25880791,397893.929625934,292317.85258586,280020.564666178
